uniprot_id,protein_info,accession_number,molecular_weight,Pool_1.mzML,Pool_2.mzML,Pool_3.mzML,Sample_01_0325.mzML,Sample_02_0147.mzML,Sample_03_4085.mzML,Sample_04_0039.mzML,Sample_05_5198.mzML,Sample_06_7066.mzML,Sample_07_0909.mzML,Sample_08_0348.mzML,Sample_09_7028.mzML,Sample_10_2119.mzML,Sample_11_6501.mzML,Sample_12_9999.mzML,Sample_13_1014.mzML,Sample_14_1059.mzML
A0A087X1C5,sp|A0A087X1C5|CP2D7_HUMAN Putative cytochrome P450 2D7 OS=Homo sapiens OX=9606 GN=CYP2D7 PE=5 SV=1,sp|A0A087X1C5|CP2D7_HUMAN,57 kDa,12128420,10100400,8047184,6400703,9803543,2147631,767043,7872038,2384339,14989790,17759460,9190121,1747821,734365,1101549,12225410,11632510
A0A0B4J1Y9,sp|A0A0B4J1Y9|HV372_HUMAN Immunoglobulin heavy variable 3-72 OS=Homo sapiens OX=9606 GN=IGHV3-72 PE=3 SV=1,sp|A0A0B4J1Y9|HV372_HUMAN,13 kDa,34858280,37054710,39324880,88847090,40182130,39822860,39975930,42115980,24683670,23234440,1862563,28740020,9271566,73529600,40445100,35323730,14474530
A0A0C4DH29,sp|A0A0C4DH29|HV103_HUMAN Immunoglobulin heavy variable 1-3 OS=Homo sapiens OX=9606 GN=IGHV1-3 PE=3 SV=1,sp|A0A0C4DH29|HV103_HUMAN,13 kDa,83996110,99612510,107389100,42280640,179020600,194450400,49979340,39133770,38161670,24654850,16704030,51880990,22337610,418867800,110062200,74030230,72548530
A0AVT1,sp|A0AVT1|UBA6_HUMAN Ubiquitin-like modifier-activating enzyme 6 OS=Homo sapiens OX=9606 GN=UBA6 PE=1 SV=1,sp|A0AVT1|UBA6_HUMAN,118 kDa,70885410,77754340,76753210,73468270,119136300,45476380,69640920,75263440,103112300,71260680,60429110,83455310,27706830,104025000,55297540,67913170,87962450
A0FGR8,sp|A0FGR8|ESYT2_HUMAN Extended sy0ptotagmin-2 OS=Homo sapiens OX=9606 GN=ESYT2 PE=1 SV=1,sp|A0FGR8|ESYT2_HUMAN,102 kDa,25028960,21329540,26742190,59603060,18563650,6483842,14402970,15958740,35201970,19612370,77828310,36625060,5416264,17541150,11326900,22483620,18911320
A0MZ66,sp|A0MZ66|SHOT1_HUMAN Shootin-1 OS=Homo sapiens OX=9606 GN=SHTN1 PE=1 SV=4,sp|A0MZ66|SHOT1_HUMAN,72 kDa,10811940,11644230,10496870,20095690,11457240,5871754,30741410,18112560,9614461,6803437,10232220,5312412,14760770,15365450,9556587,16628400,19235090
A1L0T0,sp|A1L0T0|HACL2_HUMAN 2-hydroxyacyl-CoA lyase 2 OS=Homo sapiens OX=9606 GN=ILVBL PE=1 SV=2,sp|A1L0T0|HACL2_HUMAN,68 kDa,44953490,45053990,43263130,18248780,16539670,112808700,41260750,32681740,97863580,54095840,28094470,47726080,46384950,10333540,12524840,21156150,12574970
A3KMH1,sp|A3KMH1|VWA8_HUMAN von Willebrand factor A domain-containing protein 8 OS=Homo sapiens OX=9606 GN=VWA8 PE=1 SV=2,sp|A3KMH1|VWA8_HUMAN,215 kDa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A3KN83,sp|A3KN83|SBNO1_HUMAN Protein strawberry notch homolog 1 OS=Homo sapiens OX=9606 GN=SBNO1 PE=1 SV=1,sp|A3KN83|SBNO1_HUMAN,154 kDa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A5YKK6,sp|A5YKK6|CNOT1_HUMAN CCR4-NOT transcription complex subunit 1 OS=Homo sapiens OX=9606 GN=CNOT1 PE=1 SV=2,sp|A5YKK6|CNOT1_HUMAN,267 kDa,26017160,19054370,31206460,24336900,16355710,35863340,34407460,30391010,14749040,7869696,43953550,34324560,34322820,27110550,19214300,29994370,32750960
A6NDG6,sp|A6NDG6|PGP_HUMAN Glycerol-3-phosphate phosphatase OS=Homo sapiens OX=9606 GN=PGP PE=1 SV=1,sp|A6NDG6|PGP_HUMAN,34 kDa,2574767,3325521,1488649,1234556,1707514,2756441,1970401,3610011,1400233,485404,789029,4653482,9847018,2070891,700379,264571,14286560
A6NHG4,sp|A6NHG4|DDTL_HUMAN D-dopachrome decarboxylase-like protein OS=Homo sapiens OX=9606 GN=DDTL PE=2 SV=1,sp|A6NHG4|DDTL_HUMAN,14 kDa,125098700,126278900,121672300,62084070,45273470,76180540,89286760,127082000,185099600,677572100,233009900,130141600,101579300,49361570,30652670,80085690,194048200
A6NHQ2,sp|A6NHQ2|FBLL1_HUMAN rR0/tR0 2'-O-methyltransferase fibrillarin-like protein 1 OS=Homo sapiens OX=9606 GN=FBLL1 PE=3 SV=2,sp|A6NHQ2|FBLL1_HUMAN,35 kDa,293939500,291426500,279766300,257046300,274636900,396930000,215400700,158679400,318410200,151532500,855363700,244789100,256317500,209880400,81627260,235273700,508288200
A6NHR9,sp|A6NHR9|SMHD1_HUMAN Structural mainte0nce of chromosomes flexible hinge domain-containing protein 1 OS=Homo sapiens OX=9606 GN=SMCHD1 PE=1 SV=2,sp|A6NHR9|SMHD1_HUMAN,226 kDa,14585420,18505450,13595290,17763810,13140380,10994180,12177710,20863030,19363210,7708291,23993180,17431790,18970570,14677440,9934034,8965445,31178860
A6NI72,sp|A6NI72|NCF1B_HUMAN Putative neutrophil cytosol factor 1B OS=Homo sapiens OX=9606 GN=NCF1B PE=5 SV=2,sp|A6NI72|NCF1B_HUMAN,45 kDa,9339140,7627176,7386095,12207450,19678050,5949596,7286441,12309100,11916360,5012475,3854838,4070473,3160546,9896725,2438869,4119354,6126842
A6NMZ7,sp|A6NMZ7|CO6A6_HUMAN Collagen alpha-6(VI) chain OS=Homo sapiens OX=9606 GN=COL6A6 PE=1 SV=2,sp|A6NMZ7|CO6A6_HUMAN,247 kDa,12358610,6943607,20707410,5280985,5290485,8910196,5077220,5849766,44075430,7344021,18463720,18011880,1445357,21639280,3997364,22454510,23841350
A8K7I4,sp|A8K7I4|CLCA1_HUMAN Calcium-activated chloride channel regulator 1 OS=Homo sapiens OX=9606 GN=CLCA1 PE=1 SV=3,sp|A8K7I4|CLCA1_HUMAN,100 kDa,176340200,162219500,159293800,36804530,34881520,42971700,33899880,1175684000,42945520,58062150,41027920,21244790,57864670,55947580,14859580,26265430,254003400
A8MVU1,sp|A8MVU1|NCF1C_HUMAN Putative neutrophil cytosol factor 1C OS=Homo sapiens OX=9606 GN=NCF1C PE=5 SV=1,sp|A8MVU1|NCF1C_HUMAN,42 kDa,9339140,7627176,7386095,12207450,19678050,5949596,7286441,12309100,11916360,5012475,3854838,4070473,3160546,9896725,2438869,4119354,6126842
A8MWD9,sp|A8MWD9|RUXGL_HUMAN Putative small nuclear ribonucleoprotein G-like protein 15 OS=Homo sapiens OX=9606 GN=SNRPGP15 PE=5 SV=2,sp|A8MWD9|RUXGL_HUMAN,9 kDa,438661900,449571400,247017600,237035300,431180200,233658600,216631200,467992100,377131900,219090200,650452000,525184800,595733600,455147900,139084000,481569700,689324500
B0I1T2,sp|B0I1T2|MYO1G_HUMAN Unconventio0l myosin-Ig OS=Homo sapiens OX=9606 GN=MYO1G PE=1 SV=2,sp|B0I1T2|MYO1G_HUMAN,116 kDa,581913200,599959500,499141900,592253500,491646800,609091100,868825200,930537300,296184500,294249500,194685000,543814500,269367700,358200200,1215647000,1097851000,274374700
C4AMC7,sp|C4AMC7|WASH3_HUMAN Putative WAS protein family homolog 3 OS=Homo sapiens OX=9606 GN=WASH3P PE=1 SV=2,sp|C4AMC7|WASH3_HUMAN,50 kDa,6333153,7462638,7529865,6569280,4124834,3990304,6195442,12333570,9355406,4458737,11486170,5403380,3253391,8061493,3413780,6377533,14462040
E9PAV3,"sp|E9PAV3|0CAM_HUMAN 0scent polypeptide-associated complex subunit alpha, muscle-specific form OS=Homo sapiens OX=9606 GN=0CA PE=1 SV=1",sp|E9PAV3|0CAM_HUMAN,205 kDa,832602700,771898000,863943400,998183400,411243000,540504800,642935600,1051184000,944229600,375030100,1342085000,969908100,872375400,778041300,441203600,717088400,1628022000
O00116,"sp|O00116|ADAS_HUMAN Alkyldihydroxyacetonephosphate synthase, peroxisomal OS=Homo sapiens OX=9606 GN=AGPS PE=1 SV=1",sp|O00116|ADAS_HUMAN,73 kDa,45857090,43511510,44047120,41469400,51087580,72284400,28545380,46604770,35297840,40912810,72343230,35319740,19985720,34808900,14674070,43478560,97683980
O00139,sp|O00139|KIF2A_HUMAN Kinesin-like protein KIF2A OS=Homo sapiens OX=9606 GN=KIF2A PE=1 SV=3,sp|O00139|KIF2A_HUMAN,80 kDa,56499630,59259700,54117880,44518110,40877700,59827490,65747780,91535750,57900070,22697420,110824300,65200860,35086440,52380900,25414180,51594290,73181100
